domain,sparse,Id,SyncToken,CustomField,DocNumber,TxnDate,TotalAmt,ApplyTaxAfterDiscount,PrintStatus,Balance,MetaData_CreateTime,MetaData_LastUpdatedTime,CurrencyRef_value,CurrencyRef_name,TxnTaxDetail_TotalTax,CustomerRef_value,CustomerRef_name,CustomerMemo_value,BillAddr_Id,BillAddr_Line1,BillAddr_Line2,BillAddr_Line3,BillAddr_Line4,BillAddr_Lat,BillAddr_Long,BillEmail_Address,PaymentMethodRef_value,PaymentMethodRef_name,DepositToAccountRef_value,DepositToAccountRef_name
QBO,False,25,1,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4015,2021-04-24,996.13,False,Not Set,0,2021-04-24 06:05:31,2021-04-24 06:05:31,AUD,Australian Dollar,0,50,Lew Plumbing,Thank you for your business and have a great day!,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,2,Cheque,1,Services
QBO,False,26,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",7913,2022-12-05,841.34,False,Not Set,0,2022-12-05 19:47:33,2022-12-05 19:47:33,AUD,Australian Dollar,0,51,Moturu Tapasvi,Thank you for your business and have a great day!,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,1,Cash,25,Interest Earned
QBO,False,27,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",8399,2023-11-14,600.13,False,,0,2023-11-14 07:09:32,2023-11-14 07:09:32,AUD,Australian Dollar,0,45,Jordan Burgess,Thank you for your business and have a great day!,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1,Cash,55,Automobile
QBO,False,28,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3493,2021-11-06,610.96,False,,0,2021-11-06 10:27:14,2021-11-06 10:27:14,USD,United States Dollar,0,23,Shara Barnett:Barnett Design,Thank you for your business and have a great day!,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,1,Cash,59,Cost of Labor
QBO,False,29,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3206,2022-10-14,748.63,False,Not Set,0,2022-10-14 09:42:18,2022-10-14 09:42:18,USD,United States Dollar,0,28,Wedding Planning by Whitney,Thank you for your business and have a great day!,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,2,Cheque,10,Dues & Subscriptions
QBO,False,30,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3484,2023-02-06,505.35,False,Not Set,0,2023-02-06 22:06:18,2023-02-06 22:06:18,USD,United States Dollar,0,19,Rago Travel Agency,Thank you for your business and have a great day!,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2,Cheque,35,Checking
QBO,False,31,1,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1203,2022-01-20,873.16,False,,0,2022-01-20 13:50:02,2022-01-20 13:50:02,USD,United States Dollar,0,5,Dukes Basketball Camp,Thank you for your business and have a great day!,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,Cash,72,Maintenance and Repair
QBO,False,32,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4057,2023-03-09,437.0,False,Not Set,0,2023-03-09 03:30:42,2023-03-09 03:30:42,USD,United States Dollar,0,8,Freeman Sporting Goods:0969 Ocean View Road,Thank you for your business and have a great day!,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2,Cheque,80,Cost of Goods Sold
QBO,False,33,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9793,2021-02-07,127.77,False,Not Set,0,2021-02-07 14:35:02,2021-02-07 14:35:02,USD,United States Dollar,0,18,Paulsen Medical Supplies,Thank you for your business and have a great day!,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,2,Cheque,36,Savings
QBO,False,34,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",2424,2022-10-08,147.14,False,Not Set,0,2022-10-08 02:02:54,2022-10-08 02:02:54,USD,United States Dollar,0,8,Freeman Sporting Goods:0969 Ocean View Road,Thank you for your business and have a great day!,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1,Cash,83,Other Income
QBO,False,35,1,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",8921,2022-04-01,808.24,False,,0,2022-04-01 02:17:21,2022-04-01 02:17:21,USD,United States Dollar,0,5,Dukes Basketball Camp,Thank you for your business and have a great day!,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2,Cheque,32,Uncategorized Asset
QBO,False,36,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",2817,2023-12-07,269.47,False,Not Set,0,2023-12-07 01:45:01,2023-12-07 01:45:01,USD,United States Dollar,0,28,Wedding Planning by Whitney,Thank you for your business and have a great day!,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,2,Cheque,59,Cost of Labor
QBO,False,37,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4523,2023-04-01,537.19,False,,0,2023-04-01 18:39:53,2023-04-01 18:39:53,USD,United States Dollar,0,14,Kate Whelan,Thank you for your business and have a great day!,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2,Cheque,38,Original Cost
QBO,False,38,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",7546,2021-09-20,364.39,False,Not Set,0,2021-09-20 21:48:36,2021-09-20 21:48:36,USD,United States Dollar,0,26,Travis Waldron,Thank you for your business and have a great day!,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,1,Cash,58,Job Expenses
QBO,False,39,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4924,2023-05-01,13.45,False,,0,2023-05-01 06:32:30,2023-05-01 06:32:30,AUD,Australian Dollar,0,47,Kari Steblay,Thank you for your business and have a great day!,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2,Cheque,52,Installation
QBO,False,40,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4308,2022-10-23,195.69,False,Not Set,0,2022-10-23 08:11:59,2022-10-23 08:11:59,AUD,Australian Dollar,0,51,Moturu Tapasvi,Thank you for your business and have a great day!,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,1,Cash,8,Bank Charges
QBO,False,41,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4039,2023-09-02,755.4,False,Not Set,0,2023-09-02 15:32:30,2023-09-02 15:32:30,AUD,Australian Dollar,0,36,Cheng-Cheng Lok,Thank you for your business and have a great day!,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2,Cheque,82,Design income
QBO,False,42,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",6974,2023-06-09,351.25,False,Not Set,0,2023-06-09 04:07:52,2023-06-09 04:07:52,USD,United States Dollar,0,21,Rondonuwu Fruit and Vegi,Thank you for your business and have a great day!,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,2,Cheque,2,Retained Earnings
QBO,False,43,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4020,2022-07-25,301.16,False,,0,2022-07-25 05:27:56,2022-07-25 05:27:56,USD,United States Dollar,0,8,Freeman Sporting Goods:0969 Ocean View Road,Thank you for your business and have a great day!,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1,Cash,51,Labor
QBO,False,44,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",5414,2023-03-13,823.31,False,Not Set,0,2023-03-13 23:01:28,2023-03-13 23:01:28,AUD,Australian Dollar,0,30,Adwin Ko,Thank you for your business and have a great day!,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,Cash,51,Labor
QBO,False,45,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4573,2023-09-26,732.97,False,,0,2023-09-26 03:03:25,2023-09-26 03:03:25,AUD,Australian Dollar,0,44,Jen Zaccarella,Thank you for your business and have a great day!,,,,,,,,,2,Cheque,30,Uncategorized Income
QBO,False,46,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",7135,2023-02-05,426.11,False,Not Set,0,2023-02-05 09:48:54,2023-02-05 09:48:54,AUD,Australian Dollar,0,39,Froilan Rosqueta,Thank you for your business and have a great day!,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,Cash,31,Uncategorized Expense
QBO,False,47,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",2516,2023-08-29,420.81,False,,0,2023-08-29 15:46:36,2023-08-29 15:46:36,USD,United States Dollar,0,1,Amy's Bird Sanctuary,Thank you for your business and have a great day!,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,Cash,50,Sprinklers and Drip Systems
QBO,False,48,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1739,2023-07-28,2.81,False,,0,2023-07-28 20:47:50,2023-07-28 20:47:50,USD,United States Dollar,0,29,Weiskopf Consulting,Thank you for your business and have a great day!,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2,Cheque,49,Plants and Soil
QBO,False,49,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",2226,2023-02-26,346.0,False,Not Set,0,2023-02-26 14:36:49,2023-02-26 14:36:49,USD,United States Dollar,0,22,Shara Barnett,Thank you for your business and have a great day!,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,1,Cash,45,Landscaping Services
QBO,False,50,1,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4901,2023-12-09,701.6,False,Not Set,0,2023-12-09 04:14:42,2023-12-09 04:14:42,AUD,Australian Dollar,0,53,Oxon Insurance Agency,Thank you for your business and have a great day!,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,Cheque,73,Building Repairs
QBO,False,51,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3217,2021-04-30,220.61,False,Not Set,0,2021-04-30 05:21:54,2021-04-30 05:21:54,USD,United States Dollar,0,14,Kate Whelan,Thank you for your business and have a great day!,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2,Cheque,5,Fees Billed
QBO,False,52,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1633,2021-12-21,397.19,False,Not Set,0,2021-12-21 05:42:23,2021-12-21 05:42:23,USD,United States Dollar,0,10,Geeta Kalapatapu,Thank you for your business and have a great day!,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2,Cheque,12,Legal & Professional Fees
QBO,False,53,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1398,2022-02-04,94.98,False,Not Set,0,2022-02-04 12:54:07,2022-02-04 12:54:07,AUD,Australian Dollar,0,43,Jacint Tumacder,Thank you for your business and have a great day!,,,,,,,,,1,Cash,37,Truck
QBO,False,54,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9532,2023-12-07,873.88,False,Not Set,0,2023-12-07 18:33:49,2023-12-07 18:33:49,USD,United States Dollar,0,16,Kookies by Kathy,Thank you for your business and have a great day!,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2,Cheque,68,Permits
QBO,False,55,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1767,2021-08-17,1.46,False,,0,2021-08-17 16:55:50,2021-08-17 16:55:50,AUD,Australian Dollar,0,43,Jacint Tumacder,Thank you for your business and have a great day!,,,,,,,,,1,Cash,76,Gas and Electric
QBO,False,56,1,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3652,2021-01-03,530.71,False,Not Set,0,2021-01-03 10:21:24,2021-01-03 10:21:24,USD,United States Dollar,0,15,Pye's Cakes,Thank you for your business and have a great day!,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1,Cash,62,Equipment Rental
QBO,False,57,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9493,2021-09-23,617.43,False,Not Set,0,2021-09-23 22:37:17,2021-09-23 22:37:17,AUD,Australian Dollar,0,55,Oxon Insurance Agency:Oxon -- Holiday Party,Thank you for your business and have a great day!,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,1,Cash,35,Checking
QBO,False,58,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9463,2021-06-06,763.75,False,Not Set,0,2021-06-06 16:11:08,2021-06-06 16:11:08,USD,United States Dollar,0,4,Diego Rodriguez,Thank you for your business and have a great day!,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,Cash,11,Insurance
QBO,False,59,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",2552,2023-03-16,594.94,False,,0,2023-03-16 01:36:22,2023-03-16 01:36:22,USD,United States Dollar,0,1,Amy's Bird Sanctuary,Thank you for your business and have a great day!,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,Cash,41,Mastercard
QBO,False,60,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9423,2022-06-22,299.4,False,,0,2022-06-22 14:33:32,2022-06-22 14:33:32,USD,United States Dollar,0,24,Sonnenschein Family Store,Thank you for your business and have a great day!,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,1,Cash,29,Equipment Rental
QBO,False,61,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",2205,2023-03-25,670.77,False,Not Set,0,2023-03-25 13:14:59,2023-03-25 13:14:59,AUD,Australian Dollar,0,39,Froilan Rosqueta,Thank you for your business and have a great day!,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,Cash,69,Accounting
QBO,False,62,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",7564,2022-01-30,911.87,False,,0,2022-01-30 03:05:13,2022-01-30 03:05:13,AUD,Australian Dollar,0,41,Hazel Robinson,Thank you for your business and have a great day!,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,2,Cheque,3,Prepaid Expenses
QBO,False,63,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9607,2023-04-18,405.23,False,Not Set,0,2023-04-18 12:07:10,2023-04-18 12:07:10,AUD,Australian Dollar,0,39,Froilan Rosqueta,Thank you for your business and have a great day!,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2,Cheque,88,Unapplied Cash Bill Payment Expense
QBO,False,64,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1562,2023-06-24,236.1,False,Not Set,0,2023-06-24 01:13:45,2023-06-24 01:13:45,USD,United States Dollar,0,6,Dylan Sollfrank,Thank you for your business and have a great day!,,,,,,,,,1,Cash,62,Equipment Rental
QBO,False,65,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9726,2021-04-10,194.39,False,Not Set,0,2021-04-10 20:44:35,2021-04-10 20:44:35,USD,United States Dollar,0,1,Amy's Bird Sanctuary,Thank you for your business and have a great day!,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,Cash,8,Bank Charges
QBO,False,66,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3830,2022-03-24,160.47,False,,0,2022-03-24 18:37:25,2022-03-24 18:37:25,AUD,Australian Dollar,0,47,Kari Steblay,Thank you for your business and have a great day!,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2,Cheque,59,Cost of Labor
QBO,False,67,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",8825,2023-02-18,994.88,False,,0,2023-02-18 09:31:15,2023-02-18 09:31:15,GBP,British Pound Sterling,0,49,Kristy Abercrombie,Thank you for your business and have a great day!,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,1,Cash,77,Telephone
QBO,False,68,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1999,2023-09-16,676.83,False,Not Set,0,2023-09-16 22:22:38,2023-09-16 22:22:38,USD,United States Dollar,0,19,Rago Travel Agency,Thank you for your business and have a great day!,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2,Cheque,74,Computer Repairs
QBO,False,69,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9113,2022-06-23,348.21,False,,0,2022-06-23 11:29:53,2022-06-23 11:29:53,AUD,Australian Dollar,0,45,Jordan Burgess,Thank you for your business and have a great day!,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1,Cash,13,Meals and Entertainment
QBO,False,70,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",8528,2022-06-10,850.81,False,Not Set,0,2022-06-10 13:11:58,2022-06-10 13:11:58,AUD,Australian Dollar,0,39,Froilan Rosqueta,Thank you for your business and have a great day!,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2,Cheque,1,Services
QBO,False,71,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",2776,2022-07-14,793.26,False,Not Set,0,2022-07-14 05:12:10,2022-07-14 05:12:10,USD,United States Dollar,0,28,Wedding Planning by Whitney,Thank you for your business and have a great day!,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,2,Cheque,75,Equipment Repairs
QBO,False,72,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4958,2023-08-31,869.16,False,,0,2023-08-31 23:41:31,2023-08-31 23:41:31,AUD,Australian Dollar,0,40,Gorman Ho,Thank you for your business and have a great day!,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,2,Cheque,66,Plants and Soil
QBO,False,73,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",9345,2021-05-03,743.29,False,Not Set,0,2021-05-03 03:47:18,2021-05-03 03:47:18,USD,United States Dollar,0,14,Kate Whelan,Thank you for your business and have a great day!,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1,Cash,26,Other Portfolio Income
