Name,SubAccount,FullyQualifiedName,Active,Classification,AccountType,AccountSubType,CurrentBalance,CurrentBalanceWithSubAccounts,domain,sparse,Id,SyncToken,CurrencyRef_value,CurrencyRef_name,MetaData_CreateTime,MetaData_LastUpdatedTime,ParentRef_value
General practice doctor,False,General practice doctor,True,Expense,Expense,Expense,-917,-917,QBO,False,25,3,USD,United States Dollar,2021-03-31 08:45:01,2021-03-31 08:45:01,
"Embryologist, clinical",False,"Embryologist, clinical",True,Expense,Expense,Expense,213,213,QBO,False,26,2,USD,United States Dollar,2021-01-24 18:43:48,2021-01-24 18:43:48,
Financial adviser,False,Financial adviser,True,Expense,Expense,Financial adviser,878,878,QBO,False,27,1,USD,United States Dollar,2022-11-04 16:18:01,2022-11-04 16:18:01,
Licensed conveyancer,False,Licensed conveyancer,True,Revenue,Other Income,Cost of Goods Sold,155,155,QBO,False,28,3,USD,United States Dollar,2023-05-21 08:57:10,2023-05-21 08:57:10,
Print production planner,False,Print production planner,True,Revenue,Income,Expense,-274,-274,QBO,False,29,0,USD,United States Dollar,2021-08-30 15:05:02,2021-08-30 15:05:02,
Occupational therapist,True,Print production plannerOccupational therapist,True,Expense,Expense,Accounts Payable,958,958,QBO,False,30,3,USD,United States Dollar,2023-02-08 11:51:52,2023-02-08 11:51:52,29.0
Mudlogger,False,Mudlogger,True,Expense,Expense,Mudlogger,590,590,QBO,False,31,5,USD,United States Dollar,2022-03-03 03:03:41,2022-03-03 03:03:41,
Architectural technologist,False,Architectural technologist,True,Revenue,Other Income,Expense,-530,-530,QBO,False,32,3,USD,United States Dollar,2023-06-02 09:17:55,2023-06-02 09:17:55,
Counselling psychologist,False,Counselling psychologist,True,Expense,Expense,Counselling psychologist,803,803,QBO,False,33,2,USD,United States Dollar,2023-09-26 09:40:37,2023-09-26 09:40:37,
Records manager,False,Records manager,True,Liability,Other Current Liability,Other Current Asset,583,583,QBO,False,34,4,USD,United States Dollar,2022-07-18 13:31:35,2022-07-18 13:31:35,
Government social research officer,False,Government social research officer,True,Revenue,Income,Government social research officer,-879,-879,QBO,False,35,2,USD,United States Dollar,2022-10-30 01:38:28,2022-10-30 01:38:28,
Soil scientist,False,Soil scientist,True,Expense,Other Expense,Soil scientist,-43,-43,QBO,False,36,2,USD,United States Dollar,2021-02-03 11:04:18,2021-02-03 11:04:18,
Insurance underwriter,False,Insurance underwriter,True,Asset,Fixed Asset,Insurance underwriter,678,678,QBO,False,37,4,USD,United States Dollar,2022-05-12 19:28:41,2022-05-12 19:28:41,
Youth worker,False,Youth worker,True,Expense,Other Expense,Youth worker,682,682,QBO,False,38,2,USD,United States Dollar,2022-03-17 14:01:27,2022-03-17 14:01:27,
"Teacher, early years/pre",False,"Teacher, early years/pre",True,Expense,Expense,"Teacher, early years/pre",909,909,QBO,False,39,5,USD,United States Dollar,2022-01-29 11:03:51,2022-01-29 11:03:51,
Scientific laboratory technician,False,Scientific laboratory technician,True,Expense,Other Expense,Expense,342,342,QBO,False,40,0,USD,United States Dollar,2021-08-01 20:37:34,2021-08-01 20:37:34,
Geochemist,False,Geochemist,True,Expense,Expense,Expense,-784,-784,QBO,False,41,0,USD,United States Dollar,2023-10-12 06:55:03,2023-10-12 06:55:03,
Network engineer,False,Network engineer,True,Revenue,Income,Network engineer,-791,-791,QBO,False,42,5,USD,United States Dollar,2020-12-27 16:09:12,2020-12-27 16:09:12,
IT trainer,True,Network engineerIT trainer,True,Expense,Expense,Expense,-107,-107,QBO,False,43,2,USD,United States Dollar,2021-10-29 15:40:52,2021-10-29 15:40:52,42.0
"Engineer, manufacturing",True,"Network engineerEngineer, manufacturing",True,Revenue,Income,"Engineer, manufacturing",412,412,QBO,False,44,1,USD,United States Dollar,2023-04-08 19:44:41,2023-04-08 19:44:41,43.0
"Accountant, chartered management",False,"Accountant, chartered management",True,Revenue,Income,Expense,-772,-772,QBO,False,45,4,USD,United States Dollar,2022-12-31 03:09:30,2022-12-31 03:09:30,
Building services engineer,False,Building services engineer,True,Asset,Fixed Asset,Expense,778,778,QBO,False,46,0,USD,United States Dollar,2022-11-17 07:00:07,2022-11-17 07:00:07,
Microbiologist,False,Microbiologist,True,Expense,Expense,Microbiologist,-78,-78,QBO,False,47,2,USD,United States Dollar,2023-07-07 07:46:38,2023-07-07 07:46:38,
Musician,True,MicrobiologistMusician,True,Expense,Expense,Expense,-62,-62,QBO,False,48,1,USD,United States Dollar,2023-07-07 02:29:56,2023-07-07 02:29:56,47.0
Human resources officer,False,Human resources officer,True,Revenue,Income,Expense,388,388,QBO,False,49,5,USD,United States Dollar,2022-05-23 17:43:50,2022-05-23 17:43:50,
Economist,False,Economist,True,Liability,Accounts Payable,Economist,449,449,QBO,False,50,3,USD,United States Dollar,2023-04-20 18:29:38,2023-04-20 18:29:38,
Data processing manager,False,Data processing manager,True,Revenue,Income,Income,-871,-871,QBO,False,51,3,USD,United States Dollar,2022-03-26 14:11:58,2022-03-26 14:11:58,
Curator,False,Curator,True,Revenue,Income,Income,-348,-348,QBO,False,52,3,USD,United States Dollar,2023-07-28 10:12:52,2023-07-28 10:12:52,
Site engineer,False,Site engineer,True,Expense,Other Expense,Site engineer,-491,-491,QBO,False,53,2,USD,United States Dollar,2021-08-16 18:57:37,2021-08-16 18:57:37,
Emergency planning/management officer,False,Emergency planning/management officer,True,Expense,Expense,Income,-999,-999,QBO,False,54,5,USD,United States Dollar,2022-10-19 04:51:01,2022-10-19 04:51:01,
"Engineer, materials",False,"Engineer, materials",True,Liability,Other Current Liability,Income,-116,-116,QBO,False,55,5,USD,United States Dollar,2021-07-17 18:11:44,2021-07-17 18:11:44,
Optometrist,False,Optometrist,True,Revenue,Income,Optometrist,-434,-434,QBO,False,56,0,USD,United States Dollar,2022-08-15 13:43:51,2022-08-15 13:43:51,
"Scientist, water quality",False,"Scientist, water quality",True,Expense,Expense,Income,-19,-19,QBO,False,57,4,USD,United States Dollar,2021-12-12 15:26:30,2021-12-12 15:26:30,
Web designer,False,Web designer,True,Asset,Other Current Asset,Expense,807,807,QBO,False,58,5,USD,United States Dollar,2021-07-02 06:24:23,2021-07-02 06:24:23,
"Loss adjuster, chartered",False,"Loss adjuster, chartered",True,Expense,Expense,"Loss adjuster, chartered",-905,-905,QBO,False,59,0,USD,United States Dollar,2022-11-30 17:42:32,2022-11-30 17:42:32,
Chartered certified accountant,False,Chartered certified accountant,True,Liability,Long Term Liability,Chartered certified accountant,691,691,QBO,False,60,2,USD,United States Dollar,2022-03-01 08:15:31,2022-03-01 08:15:31,
Dispensing optician,False,Dispensing optician,True,Liability,Other Current Liability,Expense,-468,-468,QBO,False,61,3,USD,United States Dollar,2021-08-15 03:34:28,2021-08-15 03:34:28,
Ophthalmologist,False,Ophthalmologist,True,Expense,Expense,Expense,714,714,QBO,False,62,5,USD,United States Dollar,2022-08-12 22:59:59,2022-08-12 22:59:59,
"Runner, broadcasting/film/video",False,"Runner, broadcasting/film/video",True,Expense,Expense,"Runner, broadcasting/film/video",-377,-377,QBO,False,63,0,USD,United States Dollar,2022-07-04 15:34:52,2022-07-04 15:34:52,
Sales promotion account executive,False,Sales promotion account executive,True,Expense,Expense,Accounts Receivable,-141,-141,QBO,False,64,2,USD,United States Dollar,2023-11-05 21:12:17,2023-11-05 21:12:17,
Outdoor activities/education manager,False,Outdoor activities/education manager,True,Expense,Other Expense,Outdoor activities/education manager,-991,-991,QBO,False,65,4,USD,United States Dollar,2021-11-30 02:45:39,2021-11-30 02:45:39,
Chiropractor,False,Chiropractor,True,Expense,Expense,Chiropractor,-769,-769,QBO,False,66,0,USD,United States Dollar,2022-07-05 11:23:01,2022-07-05 11:23:01,
"Surveyor, quantity",False,"Surveyor, quantity",True,Revenue,Other Income,"Surveyor, quantity",-123,-123,QBO,False,67,0,USD,United States Dollar,2023-08-19 00:59:46,2023-08-19 00:59:46,
Art therapist,True,"Surveyor, quantityArt therapist",True,Revenue,Income,Art therapist,-83,-83,QBO,False,68,1,USD,United States Dollar,2022-07-25 13:28:38,2022-07-25 13:28:38,67.0
Operational investment banker,False,Operational investment banker,True,Asset,Other Current Asset,Expense,790,790,QBO,False,69,5,USD,United States Dollar,2023-05-09 03:16:34,2023-05-09 03:16:34,
"Therapist, sports",False,"Therapist, sports",True,Revenue,Other Income,"Therapist, sports",-580,-580,QBO,False,70,3,USD,United States Dollar,2023-01-17 18:45:23,2023-01-17 18:45:23,
Research scientist (life sciences),False,Research scientist (life sciences),True,Expense,Expense,Research scientist (life sciences),378,378,QBO,False,71,1,USD,United States Dollar,2021-04-27 17:10:44,2021-04-27 17:10:44,
Outdoor activities/education manager,False,Outdoor activities/education manager,True,Expense,Expense,Outdoor activities/education manager,-220,-220,QBO,False,72,4,USD,United States Dollar,2023-03-18 06:26:32,2023-03-18 06:26:32,
"Radiographer, therapeutic",False,"Radiographer, therapeutic",True,Expense,Other Expense,Expense,-647,-647,QBO,False,73,4,USD,United States Dollar,2022-10-04 23:21:49,2022-10-04 23:21:49,
Contracting civil engineer,False,Contracting civil engineer,True,Revenue,Income,Expense,78,78,QBO,False,74,2,USD,United States Dollar,2021-05-19 07:34:12,2021-05-19 07:34:12,
Osteopath,False,Osteopath,True,Expense,Expense,Bank,-484,-484,QBO,False,75,0,USD,United States Dollar,2022-09-28 14:40:21,2022-09-28 14:40:21,
Manufacturing engineer,False,Manufacturing engineer,True,Revenue,Income,Manufacturing engineer,65,65,QBO,False,76,1,USD,United States Dollar,2023-07-21 03:44:01,2023-07-21 03:44:01,
Warden/ranger,False,Warden/ranger,True,Expense,Expense,Warden/ranger,824,824,QBO,False,77,0,USD,United States Dollar,2022-08-27 20:45:40,2022-08-27 20:45:40,
Human resources officer,False,Human resources officer,True,Expense,Expense,Human resources officer,-72,-72,QBO,False,78,1,USD,United States Dollar,2023-05-22 13:55:05,2023-05-22 13:55:05,
Physiological scientist,False,Physiological scientist,True,Expense,Expense,Physiological scientist,-391,-391,QBO,False,79,3,USD,United States Dollar,2023-11-12 15:14:25,2023-11-12 15:14:25,
"Teacher, music",True,"Physiological scientistTeacher, music",True,Revenue,Income,"Teacher, music",-141,-141,QBO,False,80,3,USD,United States Dollar,2022-11-06 15:57:21,2022-11-06 15:57:21,79.0
Medical technical officer,False,Medical technical officer,True,Expense,Expense,Expense,576,576,QBO,False,81,1,USD,United States Dollar,2023-09-08 17:36:41,2023-09-08 17:36:41,
Conference centre manager,False,Conference centre manager,True,Expense,Expense,Expense,-455,-455,QBO,False,82,4,USD,United States Dollar,2021-08-11 19:32:26,2021-08-11 19:32:26,
Soil scientist,True,Conference centre managerSoil scientist,True,Expense,Expense,Expense,779,779,QBO,False,83,3,USD,United States Dollar,2023-09-17 07:33:56,2023-09-17 07:33:56,82.0
Radio producer,False,Radio producer,True,Expense,Expense,Bank,236,236,QBO,False,84,1,USD,United States Dollar,2021-05-10 23:35:08,2021-05-10 23:35:08,
Ambulance person,False,Ambulance person,True,Expense,Expense,Expense,-477,-477,QBO,False,85,3,USD,United States Dollar,2020-12-30 15:06:42,2020-12-30 15:06:42,
"Editor, magazine features",False,"Editor, magazine features",True,Revenue,Income,Accounts Receivable,625,625,QBO,False,86,2,USD,United States Dollar,2021-01-07 06:00:22,2021-01-07 06:00:22,
Minerals surveyor,False,Minerals surveyor,True,Expense,Expense,Minerals surveyor,-324,-324,QBO,False,87,4,USD,United States Dollar,2022-01-08 20:25:19,2022-01-08 20:25:19,
Naval architect,True,Minerals surveyorNaval architect,True,Expense,Expense,Expense,-535,-535,QBO,False,88,1,USD,United States Dollar,2023-06-27 01:03:41,2023-06-27 01:03:41,87.0
"Programme researcher, broadcasting/film/video",False,"Programme researcher, broadcasting/film/video",True,Equity,Equity,"Programme researcher, broadcasting/film/video",76,76,QBO,False,89,1,USD,United States Dollar,2022-03-27 08:53:05,2022-03-27 08:53:05,
Holiday representative,False,Holiday representative,True,Liability,Credit Card,Holiday representative,528,528,QBO,False,90,5,USD,United States Dollar,2023-06-05 00:01:35,2023-06-05 00:01:35,
Animal nutritionist,False,Animal nutritionist,True,Revenue,Income,Fixed Asset,-352,-352,QBO,False,91,0,USD,United States Dollar,2023-06-03 12:08:19,2023-06-03 12:08:19,
Economist,False,Economist,True,Liability,Long Term Liability,Economist,671,671,QBO,False,92,2,USD,United States Dollar,2023-11-22 16:05:16,2023-11-22 16:05:16,
Horticultural therapist,True,EconomistHorticultural therapist,True,Expense,Expense,Horticultural therapist,86,86,QBO,False,93,5,USD,United States Dollar,2021-07-24 04:06:20,2021-07-24 04:06:20,92.0
Dance movement psychotherapist,False,Dance movement psychotherapist,True,Revenue,Income,Dance movement psychotherapist,670,670,QBO,False,94,1,USD,United States Dollar,2023-03-17 12:45:25,2023-03-17 12:45:25,
"Production assistant, television",False,"Production assistant, television",True,Expense,Expense,"Production assistant, television",614,614,QBO,False,95,0,USD,United States Dollar,2023-05-01 12:58:28,2023-05-01 12:58:28,
Interpreter,False,Interpreter,True,Expense,Expense,Interpreter,77,77,QBO,False,96,4,USD,United States Dollar,2022-02-14 15:28:25,2022-02-14 15:28:25,
Clothing/textile technologist,False,Clothing/textile technologist,True,Expense,Expense,Clothing/textile technologist,-414,-414,QBO,False,97,1,USD,United States Dollar,2021-05-06 20:51:53,2021-05-06 20:51:53,
Agricultural consultant,False,Agricultural consultant,True,Expense,Expense,Expense,802,802,QBO,False,98,2,USD,United States Dollar,2023-11-27 02:09:33,2023-11-27 02:09:33,
Midwife,False,Midwife,True,Revenue,Income,Expense,146,146,QBO,False,99,1,USD,United States Dollar,2023-03-28 18:48:28,2023-03-28 18:48:28,
Naval architect,False,Naval architect,True,Expense,Expense,Naval architect,-830,-830,QBO,False,100,0,USD,United States Dollar,2021-07-03 14:21:28,2021-07-03 14:21:28,
Operations geologist,False,Operations geologist,True,Revenue,Other Income,Operations geologist,426,426,QBO,False,101,0,USD,United States Dollar,2023-05-10 21:50:55,2023-05-10 21:50:55,
"Engineer, land",False,"Engineer, land",True,Liability,Other Current Liability,"Engineer, land",735,735,QBO,False,102,2,USD,United States Dollar,2022-11-07 10:53:57,2022-11-07 10:53:57,
Accounting technician,True,"Engineer, landAccounting technician",True,Expense,Expense,Accounting technician,-569,-569,QBO,False,103,4,USD,United States Dollar,2021-01-21 09:50:56,2021-01-21 09:50:56,102.0
Media buyer,False,Media buyer,True,Asset,Other Current Asset,Media buyer,-219,-219,QBO,False,104,2,USD,United States Dollar,2022-09-29 09:32:37,2022-09-29 09:32:37,
Trade union research officer,False,Trade union research officer,True,Asset,Accounts Receivable,Credit Card,-537,-537,QBO,False,105,4,USD,United States Dollar,2021-08-10 13:34:53,2021-08-10 13:34:53,
Neurosurgeon,True,Trade union research officerNeurosurgeon,True,Asset,Other Current Asset,Neurosurgeon,-290,-290,QBO,False,106,3,USD,United States Dollar,2022-10-02 08:57:11,2022-10-02 08:57:11,105.0
"Engineer, maintenance (IT)",False,"Engineer, maintenance (IT)",True,Expense,Expense,"Engineer, maintenance (IT)",453,453,QBO,False,107,5,USD,United States Dollar,2021-04-16 18:50:46,2021-04-16 18:50:46,
Aeronautical engineer,False,Aeronautical engineer,True,Asset,Fixed Asset,Aeronautical engineer,-562,-562,QBO,False,108,2,USD,United States Dollar,2021-06-27 20:19:10,2021-06-27 20:19:10,
"Designer, blown glass/stained glass",False,"Designer, blown glass/stained glass",True,Expense,Expense,Other Current Asset,-933,-933,QBO,False,109,5,USD,United States Dollar,2021-04-05 11:19:02,2021-04-05 11:19:02,
Art gallery manager,False,Art gallery manager,True,Revenue,Income,Art gallery manager,615,615,QBO,False,110,3,USD,United States Dollar,2022-11-07 23:22:06,2022-11-07 23:22:06,
"Psychotherapist, child",False,"Psychotherapist, child",True,Expense,Expense,"Psychotherapist, child",-267,-267,QBO,False,111,1,USD,United States Dollar,2022-06-28 12:07:28,2022-06-28 12:07:28,
Aid worker,False,Aid worker,True,Liability,Other Current Liability,Expense,966,966,QBO,False,112,5,USD,United States Dollar,2021-03-09 17:39:30,2021-03-09 17:39:30,
"Lecturer, further education",False,"Lecturer, further education",True,Expense,Expense,Expense,209,209,QBO,False,113,0,USD,United States Dollar,2023-08-26 00:22:45,2023-08-26 00:22:45,
"Editor, magazine features",False,"Editor, magazine features",True,Expense,Expense,"Editor, magazine features",187,187,QBO,False,114,4,USD,United States Dollar,2023-11-12 11:05:41,2023-11-12 11:05:41,
Technical brewer,False,Technical brewer,True,Revenue,Income,Technical brewer,-147,-147,QBO,False,115,5,USD,United States Dollar,2023-06-14 04:57:49,2023-06-14 04:57:49,
Occupational therapist,False,Occupational therapist,True,Expense,Expense,Expense,190,190,QBO,False,116,0,USD,United States Dollar,2022-04-01 10:33:12,2022-04-01 10:33:12,
Firefighter,True,Occupational therapistFirefighter,True,Expense,Expense,Firefighter,492,492,QBO,False,117,2,USD,United States Dollar,2023-05-17 23:12:56,2023-05-17 23:12:56,116.0
Arboriculturist,False,Arboriculturist,True,Liability,Other Current Liability,Arboriculturist,480,480,QBO,False,118,5,USD,United States Dollar,2021-10-08 10:07:09,2021-10-08 10:07:09,
Dancer,False,Dancer,True,Expense,Expense,Dancer,212,212,QBO,False,119,4,USD,United States Dollar,2023-04-09 15:44:54,2023-04-09 15:44:54,
Museum/gallery conservator,True,DancerMuseum/gallery conservator,True,Expense,Expense,Museum/gallery conservator,-171,-171,QBO,False,120,2,USD,United States Dollar,2021-06-11 05:39:26,2021-06-11 05:39:26,119.0
Structural engineer,False,Structural engineer,True,Liability,Other Current Liability,Structural engineer,-705,-705,QBO,False,121,1,USD,United States Dollar,2022-09-11 02:44:23,2022-09-11 02:44:23,
"Psychologist, forensic",False,"Psychologist, forensic",True,Expense,Expense,"Psychologist, forensic",277,277,QBO,False,122,4,USD,United States Dollar,2023-09-25 10:29:40,2023-09-25 10:29:40,
Human resources officer,True,"Psychologist, forensicHuman resources officer",True,Expense,Expense,Income,-966,-966,QBO,False,123,4,USD,United States Dollar,2023-05-14 19:48:02,2023-05-14 19:48:02,122.0
"Development worker, international aid",False,"Development worker, international aid",True,Expense,Expense,Expense,392,392,QBO,False,124,1,USD,United States Dollar,2022-08-30 11:03:55,2022-08-30 11:03:55,
Freight forwarder,False,Freight forwarder,True,Expense,Expense,Income,807,807,QBO,False,125,1,USD,United States Dollar,2021-02-20 02:43:45,2021-02-20 02:43:45,
"Education officer, museum",True,"Freight forwarderEducation officer, museum",True,Asset,Other Current Asset,Expense,377,377,QBO,False,126,4,USD,United States Dollar,2023-09-04 10:23:50,2023-09-04 10:23:50,125.0
"Therapist, drama",False,"Therapist, drama",True,Revenue,Income,Expense,684,684,QBO,False,127,1,USD,United States Dollar,2023-12-04 22:56:53,2023-12-04 22:56:53,
Arboriculturist,False,Arboriculturist,True,Expense,Expense,Arboriculturist,697,697,QBO,False,128,2,USD,United States Dollar,2020-12-13 10:12:57,2020-12-13 10:12:57,
Chartered legal executive (England and Wales),False,Chartered legal executive (England and Wales),True,Asset,Bank,Other Current Liability,107,107,QBO,False,129,3,USD,United States Dollar,2023-09-11 08:20:03,2023-09-11 08:20:03,
Multimedia specialist,False,Multimedia specialist,True,Revenue,Income,Expense,-765,-765,QBO,False,130,3,USD,United States Dollar,2021-04-06 10:41:34,2021-04-06 10:41:34,
Contracting civil engineer,False,Contracting civil engineer,True,Asset,Bank,Expense,-776,-776,QBO,False,131,1,USD,United States Dollar,2021-04-18 11:19:55,2021-04-18 11:19:55,
Tax inspector,False,Tax inspector,True,Revenue,Income,Income,-198,-198,QBO,False,132,4,USD,United States Dollar,2023-10-04 10:11:15,2023-10-04 10:11:15,
Fashion designer,False,Fashion designer,True,Expense,Expense,Expense,120,120,QBO,False,133,2,USD,United States Dollar,2023-03-15 23:14:52,2023-03-15 23:14:52,
"Engineer, electrical",False,"Engineer, electrical",True,Expense,Expense,Expense,231,231,QBO,False,134,5,USD,United States Dollar,2023-09-23 09:40:00,2023-09-23 09:40:00,
Adult guidance worker,False,Adult guidance worker,True,Asset,Other Current Asset,Expense,787,787,QBO,False,135,4,USD,United States Dollar,2023-10-09 22:17:01,2023-10-09 22:17:01,
"Civil engineer, contracting",False,"Civil engineer, contracting",True,Revenue,Other Income,"Civil engineer, contracting",378,378,QBO,False,136,0,USD,United States Dollar,2022-04-14 21:19:31,2022-04-14 21:19:31,
"Doctor, hospital",False,"Doctor, hospital",True,Expense,Expense,Income,892,892,QBO,False,137,5,USD,United States Dollar,2022-03-11 22:31:52,2022-03-11 22:31:52,
Catering manager,False,Catering manager,True,Expense,Expense,Catering manager,-806,-806,QBO,False,138,4,USD,United States Dollar,2021-12-23 02:55:05,2021-12-23 02:55:05,
Site engineer,False,Site engineer,True,Revenue,Income,Site engineer,378,378,QBO,False,139,1,USD,United States Dollar,2021-11-19 02:57:56,2021-11-19 02:57:56,
Chief Executive Officer,False,Chief Executive Officer,True,Expense,Expense,Chief Executive Officer,978,978,QBO,False,140,0,USD,United States Dollar,2023-01-31 11:42:46,2023-01-31 11:42:46,
Occupational psychologist,True,Chief Executive OfficerOccupational psychologist,True,Asset,Fixed Asset,Income,513,513,QBO,False,141,5,USD,United States Dollar,2021-03-05 05:08:54,2021-03-05 05:08:54,140.0
Commissioning editor,False,Commissioning editor,True,Expense,Other Expense,Income,396,396,QBO,False,142,0,USD,United States Dollar,2022-10-22 08:30:57,2022-10-22 08:30:57,
Music therapist,True,Commissioning editorMusic therapist,True,Expense,Expense,Expense,-597,-597,QBO,False,143,4,USD,United States Dollar,2021-01-01 01:59:12,2021-01-01 01:59:12,142.0
Careers adviser,False,Careers adviser,True,Revenue,Income,Careers adviser,890,890,QBO,False,144,2,USD,United States Dollar,2021-01-07 09:01:21,2021-01-07 09:01:21,
Banker,False,Banker,True,Liability,Other Current Liability,Banker,-33,-33,QBO,False,145,2,USD,United States Dollar,2021-07-20 10:03:01,2021-07-20 10:03:01,
"Scientist, research (medical)",False,"Scientist, research (medical)",True,Revenue,Income,Expense,108,108,QBO,False,146,1,USD,United States Dollar,2021-03-14 02:58:33,2021-03-14 02:58:33,
"Therapist, occupational",False,"Therapist, occupational",True,Expense,Expense,Expense,-954,-954,QBO,False,147,5,USD,United States Dollar,2021-08-24 07:59:19,2021-08-24 07:59:19,
Barrister,False,Barrister,True,Expense,Expense,Barrister,102,102,QBO,False,148,4,USD,United States Dollar,2021-05-18 22:39:53,2021-05-18 22:39:53,
Television camera operator,False,Television camera operator,True,Expense,Other Expense,Television camera operator,-724,-724,QBO,False,149,2,USD,United States Dollar,2020-12-10 10:29:38,2020-12-10 10:29:38,
Environmental health practitioner,False,Environmental health practitioner,True,Expense,Cost of Goods Sold,Environmental health practitioner,-822,-822,QBO,False,150,3,USD,United States Dollar,2023-06-01 20:57:39,2023-06-01 20:57:39,
Graphic designer,False,Graphic designer,True,Expense,Expense,Expense,971,971,QBO,False,151,1,USD,United States Dollar,2023-07-28 03:05:56,2023-07-28 03:05:56,
Illustrator,False,Illustrator,True,Expense,Expense,Illustrator,-390,-390,QBO,False,152,1,USD,United States Dollar,2022-05-23 02:33:36,2022-05-23 02:33:36,
Camera operator,False,Camera operator,True,Expense,Expense,Camera operator,858,858,QBO,False,153,0,USD,United States Dollar,2022-10-07 15:51:08,2022-10-07 15:51:08,
