Balance,Vendor1099,domain,sparse,Id,SyncToken,DisplayName,PrintOnCheckName,Active,CurrencyRef_value,CurrencyRef_name,MetaData_CreateTime,MetaData_LastUpdatedTime,AcctNum,GivenName,FamilyName,CompanyName,BillAddr_Id,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,BillAddr_Lat,BillAddr_Long,PrimaryPhone_FreeFormNumber,PrimaryEmailAddr_Address,WebAddr_URI,Mobile_FreeFormNumber,Fax_FreeFormNumber,TermRef_value,Title,MiddleName,BillAddr_Country,Suffix
0,FALSE,QBO,FALSE,43,0,Mahoney Mugs,Mahoney Mugs,TRUE,USD,United States Dollar,2021-11-29T10:28:46-08:00,2021-11-29T10:28:46-08:00,,,,Mahoney Mugs,,,,,,,,,,,,,,,,,
0,FALSE,QBO,FALSE,44,0,Met Life Dental,Met Life Dental,TRUE,USD,United States Dollar,2021-11-29T10:29:10-08:00,2021-11-29T10:29:10-08:00,,,,Met Life Dental,,,,,,,,,,,,,,,,,
0,FALSE,QBO,FALSE,45,0,National Eye Care,National Eye Care,TRUE,USD,United States Dollar,2021-11-29T10:31:37-08:00,2021-11-29T10:31:37-08:00,164978565103482659421,,,National Eye Care,39,123 Anywhere Ave,Tucson,AZ,85704,32.3477051,-110.9992777,(800) 555-5555,"Nateyecare@intuit.com, pauliejones15@intuit.com",http://www.nateyecare.intuit.com,,(800) 666-6666,3,,,,
205,FALSE,QBO,FALSE,46,0,Norton Lumber and Building Materials,Norton Lumber and Building Materials,TRUE,USD,United States Dollar,2021-11-29T10:32:55-08:00,2021-12-06T13:10:36-08:00,32980256,Julie,Norton,Norton Lumber and Building Materials,40,4528 Country Road,Middlefield,CA,94303,37.3752919,-122.1692159,(650) 363-6578,Materials@intuit.com,,,,,,,,
86.44,FALSE,QBO,FALSE,48,1,PG&E,PG&E,TRUE,USD,United States Dollar,2021-11-29T10:36:57-08:00,2021-12-05T13:00:36-08:00,00649587213,,,PG&E,42,4 Main St.,Palo Alto,CA,94303,37.445013,-122.1391443,(888) 555-9465,utilities@noemail.com,,,,,,,,
0,FALSE,QBO,FALSE,47,0,Pam Seitz,Pam Seitz,TRUE,USD,United States Dollar,2021-11-29T10:35:10-08:00,2021-11-29T10:35:10-08:00,64132549,Pam,Seitz,"Pam Seitz, CPA",41,P.O. Box 15,Bayshore,CA,94326,45.2720537,-79.7935909,(650) 557-8855,SeitzCPA@noemail.com,http://seitzcpas.intuit.com,(650) 888-4446,(556) 454-5555,1,,,,
315,FALSE,QBO,FALSE,49,0,Robertson & Associates,Robertson & Associates,TRUE,USD,United States Dollar,2021-11-29T10:38:12-08:00,2021-12-06T12:36:59-08:00,000005641,Jenny,Robertson,Robertson & Associates,43,P.O. Box 147,Bayshore,CA,94326,45.2720537,-79.7935909,(650) 557-1111,,,,,,,,,
0,FALSE,QBO,FALSE,57,0,Squeaky Kleen Car Wash,Squeaky Kleen Car Wash,TRUE,USD,United States Dollar,2021-12-20T14:29:35-08:00,2021-12-20T14:29:35-08:00,,,,,,,,,,,,,,,,,,,,,
0,FALSE,QBO,FALSE,50,1,Tania's Nursery,Tania's Nursery,TRUE,USD,United States Dollar,2021-11-29T10:40:09-08:00,2021-12-04T15:10:33-08:00,2154,Tania,Kronberg,Tania's Nursery,44,1111 Elm St.,Middlefield,CA,94482,37.4604972,-122.1547528,(886) 554-2265,plantqueen@taniasnursery.com,,,,,,,USA,
0,FALSE,QBO,FALSE,51,0,Tim Philip Masonry,Tim Philip Masonry,TRUE,USD,United States Dollar,2021-11-29T10:42:31-08:00,2021-12-05T13:06:58-08:00,0078965,Tim,Philip,Tim Philip Masonry,45,3948 Elm St.,Middlefield,CA,94482,37.4604972,-122.1547528,(800) 556-1254,tim.philip@timphilipmasonry.com,http://www.bricksbytim4less.co,(650) 555-1549,,,,,,
0,FALSE,QBO,FALSE,52,0,Tony Rondonuwu,Tony Rondonuwu,TRUE,USD,United States Dollar,2021-11-29T10:43:57-08:00,2021-11-29T10:43:57-08:00,,Tony,Rodonuwu,,,,,,,,,,tonyrjr@intuit.com,,,,,Mr.,L,,Jr.
0,FALSE,QBO,FALSE,53,0,United States Treasury,United States Treasury,TRUE,USD,United States Dollar,2021-11-29T10:46:00-08:00,2021-11-29T10:46:00-08:00,00000111546,,,,46,5568 Capital Drive,Tucson,AZ,85718,32.3389931,-110.9268201,(888) 555-6454,taxesaregreat@intuit.com,http://www.ustreasury.gov,,,,,,,
