POStatus,domain,sparse,Id,SyncToken,CustomField,DocNumber,TxnDate,LinkedTxn,Line,TotalAmt,VendorAddr_Id,VendorAddr_Line1,VendorAddr_Line2,VendorAddr_Line3,VendorAddr_Line4,VendorAddr_Lat,VendorAddr_Long,ShipAddr_Id,ShipAddr_Line1,ShipAddr_Line2,ShipAddr_Line3,ShipAddr_Lat,ShipAddr_Long,MetaData_CreateTime,MetaData_LastUpdatedTime,CurrencyRef_value,CurrencyRef_name,VendorRef_value,VendorRef_name,APAccountRef_value,APAccountRef_name
Closed,QBO,False,11,1,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",1389,2022-10-07,"[{'TxnId': '116', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 80.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 20, 'Qty': 4, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 80.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",95,46.0,5568 Capital Drive,Tucson,AZ,85718.0,32.3389931,-110.9268201,6.0,25 Court St.,Tucson,AZ,32.2841116,-110.9744298,2022-10-07 04:28:07,2022-10-07 04:28:07,USD,United States Dollar,53,United States Treasury,8,Bank Charges
Open,QBO,False,12,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4106,2021-10-10,"[{'TxnId': '41', 'TxnType': 'Estimate'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Rock Fountain', 'Amount': 275.0, 'LinkedTxn': [{'TxnId': '41', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'TAX'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Custom Design', 'Amount': 262.5, 'LinkedTxn': [{'TxnId': '41', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'Design'}, 'UnitPrice': 75, 'Qty': 3.5, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '3', 'LineNum': 3, 'Description': 'Fountain Pump', 'Amount': 45.0, 'LinkedTxn': [{'TxnId': '41', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '11', 'name': 'Pump'}, 'UnitPrice': 22.5, 'Qty': 2, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 582.5, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",486,45.0,3948 Elm St.,Middlefield,CA,94482.0,37.4604972,-122.1547528,,,,,,,2021-10-10 22:11:56,2021-10-10 22:11:56,AUD,Australian Dollar,51,Tim Philip Masonry,12,Legal & Professional Fees
Open,QBO,False,13,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",6342,2021-04-09,"[{'TxnId': '46', 'TxnType': 'Estimate'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Pest Control Services', 'Amount': 70.0, 'LinkedTxn': [{'TxnId': '46', 'TxnType': 'Estimate'}], 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '10', 'name': 'Pest Control'}, 'UnitPrice': 35, 'Qty': 2, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 70.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",177,,,,,,,,10.0,1987 Main St.,Middlefield,CA,37.445013,-122.1391443,2021-04-09 15:25:53,2021-04-09 15:25:53,USD,United States Dollar,56,Bob's Burger Joint,60,Installation
Closed,QBO,False,14,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",2913,2022-10-18,"[{'TxnId': '31', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 100.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 25, 'Qty': 4, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 100.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",638,,,,,,,,19.0,38921 S. Boise Ave,Middlefield,CA,37.3989376,-122.1443935,2022-10-18 11:31:51,2022-10-18 11:31:51,USD,United States Dollar,34,Cigna Health Care,71,Lawyer
Closed,QBO,False,15,1,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",8967,2022-12-05,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 50.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 25, 'Qty': 2, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Pest Control Services', 'Amount': 35.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '10', 'name': 'Pest Control'}, 'UnitPrice': 35, 'Qty': 1, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 85.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",411,,,,,,,,,,,,,,2022-12-05 06:40:02,2022-12-05 06:40:02,AUD,Australian Dollar,43,Mahoney Mugs,65,Fountain and Garden Lighting
Closed,QBO,False,16,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",2713,2023-06-12,"[{'TxnId': '32', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Custom Design', 'Amount': 750.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '4', 'name': 'Design'}, 'UnitPrice': 75, 'Qty': 10, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 750.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",468,36.0,P.O.Box 357,South Orange,NJ,7079.0,40.7489277,-74.2609903,14.0,45 First St.,Menlo Park,CA,37.4585825,-122.1352789,2023-06-12 01:55:41,2023-06-12 01:55:41,USD,United States Dollar,40,Hall Properties,23,Travel Meals
Closed,QBO,False,17,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3374,2021-01-06,"[{'TxnId': '94', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Concrete for fountain installation', 'Amount': 75.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '3', 'name': 'Concrete'}, 'UnitPrice': 15, 'Qty': 5, 'TaxCodeRef': {'value': 'TAX'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Garden Rocks', 'Amount': 72.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '13', 'name': 'Rocks'}, 'UnitPrice': 12, 'Qty': 6, 'TaxCodeRef': {'value': 'TAX'}}}, {'Id': '3', 'LineNum': 3, 'Description': 'Rock Fountain', 'Amount': 275.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 422.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",982,,,,,,,,,,,,,,2021-01-06 08:46:30,2021-01-06 08:46:30,AUD,Australian Dollar,43,Mahoney Mugs,19,Stationery & Printing
Closed,QBO,False,18,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4076,2021-09-09,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Rock Fountain', 'Amount': 275.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'TAX'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Sprinkler Pipes', 'Amount': 16.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '17', 'name': 'Sprinkler Pipes'}, 'UnitPrice': 4, 'Qty': 4, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 291.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",787,31.0,15 Main St.,Palo Alto,CA,94303.0,37.445013,-122.1391443,12.0,12 Willow Rd.,Menlo Park,CA,37.4495308,-122.1726923,2021-09-09 12:23:00,2021-09-09 12:23:00,USD,United States Dollar,30,Books by Bessie,1,Services
Open,QBO,False,19,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",4840,2023-05-11,"[{'TxnId': '128', 'TxnType': 'Payment'}]","[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 90.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 30, 'Qty': 3, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Rock Fountain', 'Amount': 275.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 365.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",616,41.0,P.O. Box 15,Bayshore,CA,94326.0,45.2720537,-79.7935909,17.0,36 Willow Rd,Menlo Park,CA,37.450412,-122.170593,2023-05-11 18:10:44,2023-05-11 18:10:44,USD,United States Dollar,47,Pam Seitz,46,Job Materials
Open,QBO,False,20,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3818,2023-07-24,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 50.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 25, 'Qty': 2, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '2', 'LineNum': 2, 'Description': 'Pest Control Services', 'Amount': 35.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '10', 'name': 'Pest Control'}, 'UnitPrice': 35, 'Qty': 1, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 85.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",774,37.0,42 Main St.,Middlefield,CA,94303.0,37.445013,-122.1391443,,,,,,,2023-07-24 11:59:25,2023-07-24 11:59:25,AUD,Australian Dollar,41,Hicks Hardware,82,Design income
Closed,QBO,False,21,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",5034,2023-02-18,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 75.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 25, 'Qty': 3, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 75.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",856,40.0,4528 Country Road,Middlefield,CA,94303.0,37.3752919,-122.1692159,,,,,,,2023-02-18 17:03:44,2023-02-18 17:03:44,AUD,Australian Dollar,46,Norton Lumber and Building Materials,60,Installation
Closed,QBO,False,22,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",8678,2023-06-15,"[{'TxnId': '29', 'TxnType': 'StatementCharge'}, {'TxnId': '98', 'TxnType': 'Payment'}]","[{'Amount': 75.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",903,42.0,4 Main St.,Palo Alto,CA,94303.0,37.445013,-122.1391443,,,,,,,2023-06-15 08:57:52,2023-06-15 08:57:52,AUD,Australian Dollar,48,PG&E,61,Maintenance and Repairs
Closed,QBO,False,23,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",5742,2021-04-30,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Sod', 'Amount': 50.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '14', 'name': 'Sod'}, 'UnitPrice': 10, 'Qty': 5, 'TaxCodeRef': {'value': 'TAX'}}}, {'Id': '2', 'LineNum': 2, 'Description': '2 cubic ft. bag', 'Amount': 50.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '15', 'name': 'Soil'}, 'UnitPrice': 10, 'Qty': 5, 'TaxCodeRef': {'value': 'TAX'}}}, {'Id': '3', 'LineNum': 3, 'Description': 'Weekly Gardening Service', 'Amount': 87.5, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 25, 'Qty': 3.5, 'TaxCodeRef': {'value': 'NON'}}}, {'Id': '4', 'LineNum': 4, 'Description': 'Rock Fountain', 'Amount': 275.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '5', 'name': 'Rock Fountain'}, 'UnitPrice': 275, 'Qty': 1, 'TaxCodeRef': {'value': 'TAX'}}}, {'Id': '5', 'LineNum': 5, 'Description': 'Fountain Pump', 'Amount': 15.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '11', 'name': 'Pump'}, 'UnitPrice': 15, 'Qty': 1, 'TaxCodeRef': {'value': 'TAX'}}}, {'Amount': 477.5, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",692,36.0,P.O.Box 357,South Orange,NJ,7079.0,40.7489277,-74.2609903,8.0,370 Easy St.,Middlefield,CA,37.4031672,-122.0642815,2021-04-30 00:27:05,2021-04-30 00:27:05,USD,United States Dollar,40,Hall Properties,32,Uncategorized Asset
Closed,QBO,False,24,0,"[{'DefinitionId': '1', 'Name': 'Crew #', 'Type': 'StringType'}]",3507,2022-02-23,[],"[{'Id': '1', 'LineNum': 1, 'Description': 'Weekly Gardening Service', 'Amount': 75.0, 'DetailType': 'SalesItemLineDetail', 'SalesItemLineDetail': {'ItemRef': {'value': '6', 'name': 'Gardening'}, 'UnitPrice': 25, 'Qty': 3, 'TaxCodeRef': {'value': 'NON'}}}, {'Amount': 75.0, 'DetailType': 'SubTotalLineDetail', 'SubTotalLineDetail': {}}]",488,,,,,,,,,,,,,,2022-02-23 01:38:37,2022-02-23 01:38:37,AUD,Australian Dollar,34,Cigna Health Care,56,Fuel
